C-A10-0;C-WIRT0-0;F-SO2;F-NOX;F-NMVOC;F-CH4;F-COWERT;F-CO2INSG;F-CO2FOSS;F-CO2BIOG;F-CO2SONS;F-N2O;F-NH3;F-PM10;F-PM25
A10-2008;WIRT100;20130;185415;141246;305739;537112;89161;52723;21078;15361;13306;78791;34597;19436
A10-2008;WIRT101;15067;125031;88792;295491;226397;65215;36380;13549;15286;12654;76302;23369;9229
A10-2008;WIRT0-1;189;16535;44993;180556;12501;1437;735;566;135;9616;73839;4848;955
A10-2008;WIRT0-2;28;744;233;223;1737;192;108;84;0;7;5;103;92
A10-2008;WIRT0-3;0;9;3;3;20;2;1;1;0;0;0;1;1
A10-2008;WIRT0-4;47;2154;520;5567;483;914;411;9;495;11;5;5325;663
A10-2008;WIRT0-5;285;2141;2988;95;624;1131;1053;78;1;15;26;124;107
A10-2008;WIRT0-6;15;106;671;2;29;94;92;0;1;0;2;6;4
A10-2008;WIRT0-7;12;48;144;1;20;18;18;1;0;0;1;5;4
A10-2008;WIRT0-8;6;19;68;0;14;8;7;0;0;0;0;2;2
A10-2008;WIRT0-9;921;4074;2544;198;1749;2124;390;1728;6;74;82;1014;659
A10-2008;WIRT0-10;1086;5090;508;247;1919;5707;2204;3500;2;96;72;202;166
A10-2008;WIRT0-11;0;76;4297;1;79;22;12;0;9;1;1;7;5
A10-2008;WIRT0-12;851;1209;841;350;395;2807;2807;0;0;13;83;107;54
A10-2008;WIRT0-13;799;1811;3211;2049;11587;2553;1406;481;667;1080;113;432;282
A10-2008;WIRT0-14;0;13;2464;0;9;7;2;0;5;0;0;3;2
A10-2008;WIRT0-15;38;238;755;3;68;115;102;11;2;1;3;16;13
A10-2008;WIRT0-16;1278;11155;1004;225;18364;6498;3005;578;2916;74;188;547;463
A10-2008;WIRT0-17;5585;5633;4294;173;127485;12579;1588;2;10989;5;27;779;441
A10-2008;WIRT0-18;99;767;786;12;329;320;254;64;2;6;9;62;52
A10-2008;WIRT0-19;6;80;802;1;48;20;15;4;2;1;1;9;7
A10-2008;WIRT0-20;21;305;661;5;119;203;189;12;1;2;5;21;17
A10-2008;WIRT0-21;58;625;1111;5;281;158;135;20;3;5;5;48;40
A10-2008;WIRT0-22;22;277;912;3;150;125;116;7;2;2;4;19;15
A10-2008;WIRT0-23;0;20;120;0;22;10;9;0;0;0;0;2;1
A10-2008;WIRT0-24;115;604;482;20;281;265;60;204;1;10;10;79;67
A10-2008;WIRT0-25;15;120;287;2;78;35;29;6;1;1;1;11;9
A10-2008;WIRT0-26;0;161;9;0;53;23;22;1;0;1;0;11;10
A10-2008;WIRT0-27;2125;11373;867;12364;3666;15661;10383;5267;11;292;313;1169;960
A10-2008;WIRT0-28;0;51;5;3;57;31;30;1;0;0;1;4;3
A10-2008;WIRT0-29;42;166;100;92645;5947;118;113;2;3;755;1152;102;39
A10-2008;WIRT0-30;62;3608;189;14;1483;607;562;44;1;25;10;925;252
A10-2008;WIRT0-31;32;2929;293;7;873;463;444;17;1;20;5;1015;206
A10-2008;WIRT0-32;99;4171;3871;25;1471;764;611;144;9;31;15;2438;457
A10-2008;WIRT0-33;75;957;801;22;1348;330;315;13;2;7;24;79;63
A10-2008;WIRT0-34;140;4714;837;51;2803;1013;943;68;2;34;32;331;284
A10-2008;WIRT0-35;133;3084;818;49;2400;739;675;63;1;23;30;307;240
A10-2008;WIRT0-36;224;27686;1984;159;8892;4674;4524;141;8;218;48;2074;1633
A10-2008;WIRT0-37;23;1666;747;45;2587;132;128;4;0;34;3;74;74
A10-2008;WIRT0-38;5;1204;54;3;329;181;174;7;0;8;1;55;55
A10-2008;WIRT0-39;19;1205;68;8;472;227;216;11;0;8;4;76;67
A10-2008;WIRT0-40;9;241;34;2;269;50;48;1;0;2;4;29;21
A10-2008;WIRT0-41;207;1133;947;191;6310;802;570;232;0;15;56;200;171
A10-2008;WIRT0-42;1;40;13;1;103;12;12;0;0;0;2;4;3
A10-2008;WIRT0-43;0;43;4;0;29;8;8;0;0;0;0;12;8
A10-2008;WIRT0-44;0;100;7;0;47;15;14;1;0;1;0;14;10
A10-2008;WIRT0-45;5;93;9;1;73;21;21;1;0;1;1;16;11
A10-2008;WIRT0-46;4;246;60;6;474;60;55;5;0;2;7;27;21
A10-2008;WIRT0-47;54;110;19;5;173;94;93;0;0;1;5;30;19
A10-2008;WIRT0-48;0;46;13;1;103;10;10;0;0;0;2;11;7
A10-2008;WIRT0-49;3;237;18;2;129;44;43;2;0;2;1;17;14
A10-2008;WIRT0-50;4;411;53;7;381;79;66;13;0;3;4;39;33
A10-2008;WIRT0-51;3;173;52;4;419;47;46;1;0;1;7;22;16
A10-2008;WIRT0-52;4;406;80;5;625;81;79;3;0;3;10;31;26
A10-2008;WIRT0-53;4;200;46;5;373;56;52;4;0;2;6;27;20
A10-2008;WIRT0-54;1;61;15;1;119;16;16;0;0;0;2;6;4
A10-2008;WIRT0-55;2;149;38;3;304;37;36;1;0;1;5;14;11
A10-2008;WIRT0-56;2;423;39;2;280;68;65;3;0;3;3;41;32
A10-2008;WIRT0-57;18;885;59;6;396;165;154;11;0;6;4;48;46
A10-2008;WIRT0-58;5;151;17;1;132;32;30;1;0;1;2;28;18
A10-2008;WIRT0-59;1;135;12;1;89;23;22;1;0;1;1;11;9
A10-2008;WIRT0-60;8;971;1355;15;897;191;162;27;3;7;10;80;66
A10-2008;WIRT0-61;58;503;104;37;1038;331;284;48;0;6;9;62;52
A10-2008;WIRT0-62;68;314;80;11;697;153;150;3;0;3;13;19;18
A10-2008;WIRT0-63;36;374;103;22;944;195;170;25;0;110;11;30;28
A10-2008;WIRT0-64;18;67;18;1;180;22;21;1;0;1;2;7;7
A10-2008;WIRT0-65;1;21;4;0;29;5;5;0;0;0;0;2;2
A10-2008;WIRT0-66;0;54;10;1;76;10;10;0;0;0;1;2;2
A10-2008;WIRT0-67;0;219;23;2;170;36;34;2;0;2;2;10;10
A10-2008;WIRT0-68;4;129;19;1;151;23;22;1;0;1;2;64;54
A10-2008;WIRT0-69;61;64;27;7;299;85;81;4;0;1;4;10;9
A10-2008;WIRT0-70;0;66;6;1;42;12;10;2;0;0;0;4;4
A10-2008;WIRT0-71;28;138;168;13;272;121;104;16;0;1;3;15;14
A10-2008;WIRT0-72;5063;60383;52454;10247;310715;23946;16343;7528;75;652;2489;11227;10207
A10-2008;WIRT0-73;46;36818;3129;130;19563;5373;5175;198;0;272;179;1663;1663
A10-2008;WIRT0-74;32;35717;2609;127;17840;5297;5099;198;0;242;178;1614;1614
A10-2008;WIRT0-75;14;1101;521;3;1723;76;76;0;0;29;0;49;49
A10-2008;WIRT0-77;78;68386;8489;450;60645;10958;10544;414;0;502;794;3026;3026
A10-2008;WIRT0-78;62;67111;7886;447;58649;10870;10456;414;0;468;794;2970;2970
A10-2008;WIRT0-79;16;1276;603;4;1996;88;88;0;0;34;0;57;57
A10-2008;WIRT0-81;104;1247;543;-15;5222;-337;13;-350;0;75;-668;112;112
A10-2008;WIRT0-82;20265;218230;147149;306045;583415;94409;58105;20943;15361;13612;78739;36072;20911
A10-2009;WIRT100;14603;176428;136585;301960;516625;84339;49997;21975;12367;12551;80055;32961;18584
A10-2009;WIRT101;12329;116346;85133;291911;208378;60146;33759;14098;12289;11892;77631;21879;8515
A10-2009;WIRT0-1;122;16059;44891;183573;11984;1391;681;574;136;9441;75296;4794;918
A10-2009;WIRT0-2;18;716;226;223;1677;186;101;85;0;7;5;98;87
A10-2009;WIRT0-3;0;9;3;3;25;3;1;1;0;0;0;1;1
A10-2009;WIRT0-4;58;2005;566;5833;452;867;407;11;449;10;6;4890;603
A10-2009;WIRT0-5;266;2242;2983;94;630;1168;1096;71;1;15;26;121;105
A10-2009;WIRT0-6;22;102;578;2;29;82;79;1;1;0;2;7;5
A10-2009;WIRT0-7;8;48;135;1;19;23;22;1;0;0;1;4;3
A10-2009;WIRT0-8;4;26;61;0;11;18;17;1;0;0;0;2;2
A10-2009;WIRT0-9;1028;4061;2388;207;1731;2268;361;1901;5;78;89;1013;656
A10-2009;WIRT0-10;1056;4940;483;237;1860;5530;2207;3322;2;91;68;213;174
A10-2009;WIRT0-11;0;95;3914;1;76;24;15;1;9;1;1;7;6
A10-2009;WIRT0-12;581;1050;812;344;500;2810;2810;0;0;15;86;99;52
A10-2009;WIRT0-13;839;1773;3325;1998;11578;2466;1442;421;602;560;121;410;263
A10-2009;WIRT0-14;0;19;2353;0;13;8;3;0;5;0;0;3;2
