code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
WIRT100;Insgesamt;;Total;Summe aus Wirtschaft und privaten Haushalten;;Economy and private housholds;;;
WIRT101;Wirtschaft;;Economy;;;;;;
WIRT0-1;Landwirtschaft, Jagd u. damit verbundene Tätigkeiten;;Crop and animal production, hunting and related service activities;;;;;;
WIRT0-2;Forstwirtschaft u. Holzeinschlag;;Forestry and logging ;;;;;;
WIRT0-3;Fischerei u. Aquakultur;;Fishing and aquaculture ;;;;;;
WIRT0-4;Bergbau und Gewinnung von Steinen und Erden;;Mining and quarrying ;;;;;;
WIRT0-5;Herstellung von Nahrungsmittel und Getränken;;Manufacture of food products and beverages;;;;;;
WIRT0-6;H. v. Textilien;;Manufacture of textiles ;;;;;;
WIRT0-7;H. v. Bekleidung;;Manufacture of wearing apparel;;;;;;
WIRT0-8;H. v. Leder, Lederwaren u. Schuhen;;Manufacture of leather and related products ;;;;;;
WIRT0-9;H. v. Holz–, Flecht–, Korb– u. Korkwaren (o. Möbel);;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ";;;;;;
WIRT0-10;H. v. Papier, Pappe u. Waren daraus;;Manufacture of paper and paper products ;;;;;;
WIRT0-11;"H. v. Druckerzeugnissen; Vervielf. v. bespielten Ton–, Bild– u. Datenträgern";;Printing and reproduction of recorded media ;;;;;;
WIRT0-12;Kokerei u. Mineralölverarbeitung;;Manufacture of coke and refined petroleum products ;;;;;;
WIRT0-13;H. v. chemischen Erzeugnissen;;Manufacture of chemicals and chemical products ;;;;;;
WIRT0-14;H. v. pharmazeutischen Erzeugnissen;;Manufacture of basic pharmaceutical products and pharmaceutical preparations ;;;;;;
WIRT0-15;H. v. Gummi– u. Kunststoffwaren;;Manufacture of rubber and plastic products ;;;;;;
WIRT0-16;H. v. Glas u. Glaswaren, Keramik, Verarb. v. Steinen u. Erden;;Manufacture of other non-metallic mineral products ;;;;;;
WIRT0-17;Metallerzeugung u. –bearbeitung;;Manufacture of basic metals ;;;;;;
WIRT0-18;H. v. Metallerzeugnissen;;Manufacture of fabricated metal products, except machinery and equipment;;;;;;
WIRT0-19;H. v. Datenverarbeitungsgeräten, elektron. u. opt. Geräten;;Manufacture of computer, electronic and optical products ;;;;;;
WIRT0-20;H. v. elektrischen Ausrüstungen;;Manufacture of electrical equipment ;;;;;;
WIRT0-21;Maschinenbau;;Manufacture of machinery and equipment n.e.c. ;;;;;;
WIRT0-22;H. v. Kraftwagen u. Kraftwagenteilen;;Manufacture of motor vehicles, trailers and semi-trailers ;;;;;;
WIRT0-23;Sonstiger Fahrzeugbau;;Manufacture of other transport equipment ;;;;;;
WIRT0-24;H. v. Möbeln;;Manufacture of furniture ;;;;;;
WIRT0-25;H. v. sonstigen Waren;;Other manufacturing ;;;;;;
WIRT0-26;Reparatur u. Installation v. Maschinen u. Ausrüstungen;;Repair and installation of machinery and equipment ;;;;;;
WIRT0-27;Energieversorgung;;Electricity, gas, steam and air conditioning supply ;;;;;;
WIRT0-28;Wasserversorgung;;Water collection, treatment and supply;;;;;;
WIRT0-29;Abfallentsorgung;;Waste treatment ;;;;;;
WIRT0-30;Hochbau;;Construction of buildings ;;;;;;
WIRT0-31;Tiefbau;;Civil engineering ;;;;;;
WIRT0-32;Vorbereitende Baustellenarbeit, Bauinstallation u. sonstiges Ausbaugewerbe;;Specialised construction activities ;;;;;;
WIRT0-33;"Handel m. Kraftfahrzeugen; Instandhaltung u. Reparatur v. Kraftfahrzeugen";;Wholesale and retail trade and repair of motor vehicles and motorcycles ;;;;;;
WIRT0-34;GH (o. Handel m. Kraftfahrzeugen u. Krafträdern);;Wholesale trade, except of motor vehicles and motorcycles ;;;;;;
WIRT0-35;EH (o. Handel m. Kraftfahrzeugen);;Retail trade, except of motor vehicles and motorcycles ;;;;;;
WIRT0-36;Landverkehr u. Transport in Rohrfernleitungen;;Land transport and transport via pipelines ;;;;;;
WIRT0-37;Schifffahrt;;Water transport ;;;;;;
WIRT0-38;Luftfahrt;;Air transport ;;;;;;
WIRT0-39;Lagerei sowie Erbringung v. sonstigen Dienstleistungen f. d. Verkehr;;Warehousing and support activities for transportation ;;;;;;
WIRT0-40;Post–, Kurier– u. Expressdienste;;Postal and courier activities ;;;;;;
WIRT0-41;Beherbergung, Gastronomie;;Accommodation, Food and beverage service activities ;;;;;;
WIRT0-42;Verlagswesen;;Publishing activities ;;;;;;
WIRT0-43;"H., Verleih u. Vertrieb v. Filmen u. Fernsehprogrammen; Kinos; Tonstudios u. Verlegen v. Musik";;Motion pict., video and television programme production, sound recording and music publishing act.;;;;;;
WIRT0-44;Rundfunkveranstalter;;Programming and broadcasting activities ;;;;;;
WIRT0-45;Telekommunikation;;Telecommunications ;;;;;;
WIRT0-46;Erbring. v. Dienstl. d. Informationstechnologie, Informationsdienstleistungen;;Computer programming, consultancy and related activities, Information service activities ;;;;;;
WIRT0-47;Erbring. v. Finanz– u. Versicherungsdienstleistungen;;Financial service activities, except insurance and pension funding ;;;;;;
WIRT0-48;Versicherungen, Rückversicherungen u. Pensionskassen (o. Sozialversicherung);;Insurance, reinsurance and pension funding, except compulsory social security ;;;;;;
WIRT0-49;M. Finanz– u. Versicherungsdienstleistungen verbund. Tätigkeiten;;Activities auxiliary to financial services and insurance activities ;;;;;;
WIRT0-50;Grundstücks– u. Wohnungswesen;;Real estate activities ;;;;;;
WIRT0-51;Rechts– u. Steuerberatung, Wirtschaftsprüfung;;Legal and accounting activities ;;;;;;
WIRT0-52;"Verwaltung u. Führung v. Unternehmen u. Betrieben; Unternehmensberatung";;"Activities of head offices; management consultancy activities ";;;;;;
WIRT0-53;"Architektur– u. Ingenieurbüros; technische, physikalische u. chemische Untersuchung";;"Architectural and engineering activities; technical testing and analysis ";;;;;;
WIRT0-54;Forschung u. Entwicklung;;Scientific research and development ;;;;;;
WIRT0-55;Werbung u. Marktforschung;;Advertising and market research ;;;;;;
WIRT0-56;Sonstige freiberufliche, wissenschaftliche u. technische Tätigkeiten, Veterinärwesen;;Other professional, scientific and technical activities, Veterinary activities  ;;;;;;
WIRT0-57;Vermietung v. beweglichen Sachen;;Rental and leasing activities ;;;;;;
WIRT0-58;Vermittlung u. Überlassung v. Arbeitskräften;;Employment activities ;;;;;;
WIRT0-59;Reisebüros, Reiseveranstalter u. Erbring. sonstiger Reservierungstätigkeiten;;Travel agency, tour operator and other reservation service and related activities ;;;;;;
WIRT0-60;"Wach- und Sicherheitsdienste sowie Detekteien; Gebaeudebetreuung; Garten- und Landschaftsbau; Erbringung von wirtschaftlichen Dienstleistungen fuer Unternehmen und Privatpersonen a.n.g.";;"Security and investigation activities; Services to buildings and landscape activities; Office administrative, office support and other business support activities ";;;;;;
WIRT0-61;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";;"Public administration and defence; compulsory social security ";;;;;;
WIRT0-62;Erziehung u. Unterricht;;Education ;;;;;;
WIRT0-63;Gesundheitswesen;;Human health activities ;;;;;;
WIRT0-64;"Heime (o. Erholungs– u. Ferienheime); Sozialwesen (o. Heime)";;Residential care activities, Social work activities without accommodation ;;;;;;
WIRT0-65;Kreative, künstlerische u. unterhaltende Tätigkeiten;;Creative, arts and entertainment activities ;;;;;;
WIRT0-66;Bibliotheken, Archive, Museen, botanische u. zoologische Gärten;;Libraries, archives, museums and other cultural activities ;;;;;;
WIRT0-67;Spiel–, Wett– u. Lotteriewesen;;Gambling and betting activities ;;;;;;
WIRT0-68;Erbring. v. Dienstleistungen d. Sportes, d. Unterhaltung u. d. Erholung;;Sports activities and amusement and recreation activities ;;;;;;
WIRT0-69;Interessenvertretungen sowie kirchl. u. sonstige religiöse Vereinigungen (o. Sozialwesen u. Sport);;Activities of membership organisations ;;;;;;
WIRT0-70;Reparatur v. Datenverarbeitungsgeräten u. Gebrauchsgütern;;Repair of computers and personal and household goods ;;;;;;
WIRT0-71;Erbring. v. sonstigen überwiegend persönlichen Dienstleistungen;;Other personal service activities;;;;;;
WIRT0-72;Private Haushalte;;Private households;;;;;;
WIRT0-73;Minus gebietsansässige Einheiten außerhalb von Österreich (Summe);;Less national residents abroad (sum);;;;;;
WIRT0-74;Minus gebietsansässige Einheiten außerhalb von Österreich: Landverkehr;;Less national residents abroad: Land transport;;;;;;
WIRT0-75;Minus gebietsansässige Einheiten außerhalb von Österreich: Schifffahrt;;Less national residents abroad: Internal navigation;;;;;;
