code;name;en_name;;;;;;;
C-A10-0;Veranlagungsjahr;Year;;;;;;;
C-GESCHL-0;Geschlecht;Gender <2>;;;;;;;
C-BLD2_EXT-0;Bundesland;Federal states;;;;;;;
C-ESTUF_13-0;Stufen des zu versteuernden Einkommens;Level of income;;;;;;;
F-Z_INSGES;Anzahl Veranlagungsfälle;Number of entities (= persons) subject to income tax;;;;;;;
F-Z_KZ2220;Fallzahl Gesamtbetrag der Einkünfte insgesamt;Entity count: Total amount of income;;;;;;;
F-KZ2220;Gesamtbetrag der Einkünfte insgesamt;Total amount of income;;;;;;;
F-Z_KZ2245;Fallzahl zu versteuerndes Einkommen insgesamt;Cases of taxpayers with taxable income;;;;;;;
F-KZ2245;Betrag zu versteuerndes Einkommen insgesamt;Amount of taxable income;;;;;;;
F-Z_KZ2269;Fallzahl Festgesetzte Einkommensteuer;Entity count: Total income tax assessed;;;;;;;
F-KZ2269;Festgesetzte Einkommensteuer;Amount of total income tax assessed;;;;;;;
F-Z_KZ2273;Fallzahl Angerechnete Lohnsteuer;Entity count: Credited wage tax;;;;;;;
F-KZ2273;Angerechnete Lohnsteuer;Credited wage tax (EUR);;;;;;;
F-Z_SPRU_POS;Fallzahl Abgabenschuld;Entity count: Tax debt;;;;;;;
F-SPRU_POS;Abgabenschuld;Tax debt (EUR);;;;;;;
F-Z_SPRU_NEG;Fallzahl Gutschrift;Entity count: Tax credit;;;;;;;
F-SPRU_NEG;Gutschrift;Tax credit (EUR);;;;;;;
F-Z_BR_NSA;Fallzahl Nichtselbständige Arbeit – Bruttobezüge;Entity count: Wage income incl. pensions – gross salary;;;;;;;
F-BR_NSA;Nichtselbständige Arbeit – Bruttobezüge;Wage income incl. pensions – gross salary;;;;;;;
F-Z_KZ2201;Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Land- und Forstwirtschaft;Entity count: Balance of income/losses from agriculture and forestry;;;;;;;
F-KZ2201;Einkünfte (nach Ausgleich mit Verlusten) aus Land- und Forstwirtschaft;Balance of income/losses from agriculture and forestry (EUR);;;;;;;
F-Z_KZ2202;Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Selbständiger Arbeit;Entity count: Balance of income/losses from self-employment;;;;;;;
F-KZ2202;Einkünfte (nach Ausgleich mit Verlusten) aus Selbständiger Arbeit;Balance of income/losses from self-employment (EUR);;;;;;;
F-Z_KZ2203;Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Gewerbebetrieb;Entity count: Balance of income/losses from business establishments;;;;;;;
F-KZ2203;Einkünfte (nach Ausgleich mit Verlusten) aus Gewerbebetrieb;Balance of income/losses from business establishments (EUR);;;;;;;
F-Z_NSA;Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Nichtselbständiger Arbeit;Entity count: Balance of income/losses from employment;;;;;;;
F-NSA;Einkünfte (nach Ausgleich mit Verlusten) aus Nichtselbständiger Arbeit;Balance of income/losses from employment (EUR);;;;;;;
F-Z_KZ2211;Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Kapitalvermögen;Cases of taxpayers with capital income (after offsetting losses);;;;;;;
F-KZ2211;Betrag Einkünfte (nach Ausgleich mit Verlusten) aus Kapitalvermögen;Amount of capital income (after offsetting losses);;;;;;;
F-Z_KZ1370;Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Vermietung und Verpachtung;Entity count: Balance of income/losses from rent and lease;;;;;;;
F-KZ1370;Einkünfte (nach Ausgleich mit Verlusten) aus Vermietung und Verpachtung;Balance of income/losses from rent and lease (EUR);;;;;;;
F-Z_KZ1380;Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Sonstigen Einkünften;Cases of taxpayers with income from other kinds of income (after offsetting losses);;;;;;;
F-KZ1380;Betrag Einkünfte (nach Ausgleich mit Verlusten) aus Sonstigen Einkünften;Amount of income from other kinds of income (after offsetting losses);;;;;;;
F-Z_SA_INSG;Fallzahl Sonderausgaben Insgesamt;Entity count: Special tax exempt amounts in total;;;;;;;
F-SA_INSG;Sonderausgaben Insgesamt;Special tax exempt amounts in total (EUR);;;;;;;
F-Z_KZ2229;Fallzahl Verlustabzug;Entity count: Loss deduction;;;;;;;
F-KZ2229;Verlustabzug;Loss deduction (EUR);;;;;;;
F-Z_AUGEW_BELA;Fallzahl Außergewöhnliche Belastungen;Entity count: Extraordinary payments;;;;;;;
F-AUGEW_BELA;Außergewöhnliche Belastungen;Extraordinary payments (EUR);;;;;;;
F-Z_KZ2271;Fallzahl Angerechnete ausländische Steuern;Entity count: Credited foreign taxes;;;;;;;
F-KZ2271;Angerechnete ausländische Steuern;Credited foreign taxes (EUR);;;;;;;
F-Z_KZ2274;Fallzahl Angerechnete Kapitalertragsteuer;Entity count: Credites capital gains tax;;;;;;;
F-KZ2274;Angerechnete Kapitalertragsteuer;Credites capital gains tax (EUR);;;;;;;
F-Z_KZ2251;Fallzahl Alleinverdienerabsetzbetrag;Entity count: Deductible amount for sole earners;;;;;;;
F-KZ2251;Alleinverdienerabsetzbetrag;Deductible amount for sole earners (EUR);;;;;;;
F-Z_KZ2276;Fallzahl Alleinerzieherabsetzbetrag;Entity count: Deductible amount for sole educators;;;;;;;
F-KZ2276;Alleinerzieherabsetzbetrag;Deductible amount for sole educators (EUR);;;;;;;
F-Z_KZ2252;Fallzahl Verkehrsabsetzbetrag;Entity count: Deductible amount for transportation costs;;;;;;;
F-KZ2252;Verkehrsabsetzbetrag;Deductible amount for transportation costs (EUR);;;;;;;
F-Z_KZ2255;Fallzahl Pensionistenabsetzbetrag;Entity count: Deductible amount for pensioners;;;;;;;
F-KZ2255;Pensionistenabsetzbetrag;Deductible amount for pensioners (EUR);;;;;;;
F-Z_KZ2275;Fallzahl Unterhaltsabsetzbetrag;Entity count: Deductible amount for payment of alimonies;;;;;;;
F-KZ2275;Unterhaltsabsetzbetrag;Deductible amount for payment of alimonies (EUR);;;;;;;
F-Z_KZ2279;Fallzahl Progressionseinkünfte;Entity count: Progression income;;;;;;;
F-KZ2279;Progressionseinkünfte;Progression income (EUR);;;;;;;
F-Z_KZ2348;Fallzahl Familienbonus Plus (ab 2020);Entity count: Family Bonus Plus;;;;;;;
F-KZ2348;Familienbonus Plus (ab 2020);Family Bonus Plus;;;;;;;
F-Z_KZ2257;Fallzahl Erhöhter Pensionistenabsetzbetrag (ab 2020);Entity count: Increased deductible amount for pensioners;;;;;;;
F-KZ2257;Erhöhter Pensionistenabsetzbetrag (ab 2020);Increased deductible amount for pensioners;;;;;;;
F-Z_KZ2443;Fallzahl Kindermehrbetrag (ab 2020);Entity count: Additional child amount;;;;;;;
F-KZ2443;Kindermehrbetrag (ab 2020);Additional child amount;;;;;;;
F-Z_KZ2258;Fallzahl Einkommensteuer nach Tarif;Taxpayer cases – tariff taxation;;;;;;;
F-KZ2258;Betrag Einkommensteuer nach Tarif;Amount of income taxed according to the tariff;;;;;;;
F-Z_KZ2258_POS;Fallzahl Steuer nach Tarif;Entity count: tax according to the tariff;;;;;;;
F-KZ2258_POS;Betrag Steuer nach Tarif;Tax according to the tariff;;;;;;;
F-Z_KZ2258_NEG;Fallzahl Negativsteuer nach Tarif;Entity count: negative tax according to the tariff;;;;;;;
F-KZ2258_NEG;Betrag Negativsteuer nach Tarif;Negative tax according to the tariff;;;;;;;
F-Z_KAP_STBMGRL;Fallzahl Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022);Cases of taxpayers with capital income (after offsetting losses) subject to fixed-rate taxation;;;;;;;
F-KAP_STBMGRL;Betrag Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022);Amount of the capital income (after offsetting losses) subject to fixed-rate taxation;;;;;;;
F-Z_IMMO_STBMGRL;Fallzahl Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022);Cases of taxpayers with iincome from property sales (after offsetting losses) subject to fixed-rate taxation;;;;;;;
F-IMMO_STBMGRL;Betrag Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022);Amount of the income from property sales (after offsetting losses) subject to fixed-rate taxation;;;;;;;
F-Z_SECHSTEL_STBMGRL;Fallzahl Einkünfte aus sonst. Bezüge § 67 (Jahressechstel) mit festen Sätzen besteuert (ab 2022);Cases of taxpayers with bonus payments (§ 67, 13th and 14th month salary) subject to fixed-rate taxation;;;;;;;
F-SECHSTEL_STBMGRL;Betrag Einkünfte aus sonst. Bezüge § 67 (Jahressechstel) mit festen Sätzen besteuert (ab 2022);Amount of the income from bonus payments (§ 67, 13th and 14th month salary) subject to fixed-rate taxation;;;;;;;
F-Z_ST_KAP;Fallzahl Steuer Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022);Cases of taxpayers subject to capital gains tax at fixed rates;;;;;;;
F-ST_KAP;Betrag Steuer Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022);Amount of tax on capital income taxed at fixed rates;;;;;;;
F-Z_ST_IMMO;Fallzahl Steuer Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022);Cases of taxpayers subject to property sales tax at fixed rates;;;;;;;
F-ST_IMMO;Betrag Steuer Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022);Amount of tax on property sales taxed at fixed rates;;;;;;;
F-Z_ST_SECHSTEL;Fallzahl Steuer sonst. Bezüge § 67 mit festen Sätzen besteuert (ab 2022);Cases of taxpayers subject to tax on bonus payment at fixed rates;;;;;;;
F-ST_SECHSTEL;Betrag Steuer sonst. Bezüge § 67 mit festen Sätzen besteuert (ab 2022);Amount of tax on bonus payments taxed at fixed rates;;;;;;;
