"Zeit","Wirtschaftszweig","SO2 (in Tonnen)","NOx (in Tonnen)","NMVOC (in Tonnen)","CH4 (in Tonnen)","CO (in Tonnen)","CO2 insgesamt (in 1 000 Tonnen)","CO2 aus fossilen Quellen (in 1 000 Tonnen)","CO2 aus biogenen Quellen (in 1 000 Tonnen)","CO2 aus sonstigen Quellen (in 1 000 Tonnen)","N2O (in Tonnen)","NH3 (in Tonnen)","PM10 (in Tonnen)","PM2.5 (in Tonnen)"
"2008","Insgesamt",20130,185415,141246,305739,537112,89161,52723,21078,15361,13306,78791,34597,19436
"2008","Wirtschaft",15067,125031,88792,295491,226397,65215,36380,13549,15286,12654,76302,23369,9229
"2008","Landwirtschaft, Jagd u. damit verbundene Tätigkeiten",189,16535,44993,180556,12501,1437,735,566,135,9616,73839,4848,955
"2008","Forstwirtschaft u. Holzeinschlag",28,744,233,223,1737,192,108,84,0,7,5,103,92
"2008","Fischerei u. Aquakultur",0,9,3,3,20,2,1,1,0,0,0,1,1
"2008","Bergbau und Gewinnung von Steinen und Erden",47,2154,520,5567,483,914,411,9,495,11,5,5325,663
"2008","Herstellung von Nahrungsmittel und Getränken",285,2141,2988,95,624,1131,1053,78,1,15,26,124,107
"2008","H. v. Textilien",15,106,671,2,29,94,92,0,1,0,2,6,4
"2008","H. v. Bekleidung",12,48,144,1,20,18,18,1,0,0,1,5,4
"2008","H. v. Leder, Lederwaren u. Schuhen",6,19,68,0,14,8,7,0,0,0,0,2,2
"2008","H. v. Holz–, Flecht–, Korb– u. Korkwaren (o. Möbel)",921,4074,2544,198,1749,2124,390,1728,6,74,82,1014,659
"2008","H. v. Papier, Pappe u. Waren daraus",1086,5090,508,247,1919,5707,2204,3500,2,96,72,202,166
"2008","H. v. Druckerzeugnissen; Vervielf. v. bespielten Ton–, Bild– u. Datenträgern",0,76,4297,1,79,22,12,0,9,1,1,7,5
"2008","Kokerei u. Mineralölverarbeitung",851,1209,841,350,395,2807,2807,0,0,13,83,107,54
"2008","H. v. chemischen Erzeugnissen",799,1811,3211,2049,11587,2553,1406,481,667,1080,113,432,282
