"Veranlagungsjahr","Geschlecht","Bundesland","Stufen des zu versteuernden Einkommens","Anzahl Veranlagungsfälle","Fallzahl Gesamtbetrag der Einkünfte insgesamt","Gesamtbetrag der Einkünfte insgesamt","Fallzahl zu versteuerndes Einkommen insgesamt","Betrag zu versteuerndes Einkommen insgesamt","Fallzahl Festgesetzte Einkommensteuer","Festgesetzte Einkommensteuer","Fallzahl Angerechnete Lohnsteuer","Angerechnete Lohnsteuer","Fallzahl Abgabenschuld","Abgabenschuld","Fallzahl Gutschrift","Gutschrift","Fallzahl Nichtselbständige Arbeit – Bruttobezüge","Nichtselbständige Arbeit – Bruttobezüge","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Land- und Forstwirtschaft","Einkünfte (nach Ausgleich mit Verlusten) aus Land- und Forstwirtschaft","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Selbständiger Arbeit","Einkünfte (nach Ausgleich mit Verlusten) aus Selbständiger Arbeit","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Gewerbebetrieb","Einkünfte (nach Ausgleich mit Verlusten) aus Gewerbebetrieb","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Nichtselbständiger Arbeit","Einkünfte (nach Ausgleich mit Verlusten) aus Nichtselbständiger Arbeit","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Kapitalvermögen","Betrag Einkünfte (nach Ausgleich mit Verlusten) aus Kapitalvermögen","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Vermietung und Verpachtung","Einkünfte (nach Ausgleich mit Verlusten) aus Vermietung und Verpachtung","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Sonstigen Einkünften","Betrag Einkünfte (nach Ausgleich mit Verlusten) aus Sonstigen Einkünften","Fallzahl Sonderausgaben Insgesamt","Sonderausgaben Insgesamt","Fallzahl Verlustabzug","Verlustabzug","Fallzahl Außergewöhnliche Belastungen","Außergewöhnliche Belastungen","Fallzahl Angerechnete ausländische Steuern","Angerechnete ausländische Steuern","Fallzahl Angerechnete Kapitalertragsteuer","Angerechnete Kapitalertragsteuer","Fallzahl Alleinverdienerabsetzbetrag","Alleinverdienerabsetzbetrag","Fallzahl Alleinerzieherabsetzbetrag","Alleinerzieherabsetzbetrag","Fallzahl Verkehrsabsetzbetrag","Verkehrsabsetzbetrag","Fallzahl Pensionistenabsetzbetrag","Pensionistenabsetzbetrag","Fallzahl Unterhaltsabsetzbetrag","Unterhaltsabsetzbetrag","Fallzahl Progressionseinkünfte","Progressionseinkünfte","Fallzahl Familienbonus Plus (ab 2020)","Familienbonus Plus (ab 2020)","Fallzahl Erhöhter Pensionistenabsetzbetrag (ab 2020)","Erhöhter Pensionistenabsetzbetrag (ab 2020)","Fallzahl Kindermehrbetrag (ab 2020)","Kindermehrbetrag (ab 2020)","Fallzahl Einkommensteuer nach Tarif","Betrag Einkommensteuer nach Tarif","Fallzahl Steuer nach Tarif","Betrag Steuer nach Tarif","Fallzahl Negativsteuer nach Tarif","Betrag Negativsteuer nach Tarif","Fallzahl Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Betrag Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Fallzahl Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Betrag Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Fallzahl Einkünfte aus sonst. Bezüge § 67 (Jahressechstel) mit festen Sätzen besteuert (ab 2022)","Betrag Einkünfte aus sonst. Bezüge § 67 (Jahressechstel) mit festen Sätzen besteuert (ab 2022)","Fallzahl Steuer Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Betrag Steuer Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Fallzahl Steuer Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Betrag Steuer Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Fallzahl Steuer sonst. Bezüge § 67 mit festen Sätzen besteuert (ab 2022)","Betrag Steuer sonst. Bezüge § 67 mit festen Sätzen besteuert (ab 2022)"
"2023","männlich","Burgenland","bis unter 4",2116,1995,-12046252,885,1632290,451,-262229,226,-168667,21,2454,462,-521500,538,4038288,278,-1942871,248,257004,1421,-14213915,483,2858661,56,114091,228,342203,37,554316,621,-6150522,337,-5830284,30,-61554,0,0,23,-23155,98,-69696,6,-3672,225,-116400,107,-42203,5,-343,90,9331966,7,-5085,4,-2033,65,-73700,428,-278166,8,22218,420,-300385,33,15726,4,5440,376,379051,33,4285,4,1632,75,10020
"2023","männlich","Burgenland","4 bis unter 6",435,435,6991491,435,2182161,141,-74522,94,-216160,9,6305,139,-549516,160,2410808,59,117707,62,251266,274,4634679,150,1906465,10,22691,40,51460,6,12675,225,-5092276,38,-5016972,14,-23172,0,0,3,-1876,19,-14960,3,-1560,88,-53972,17,-3440,1,-55,13,397025,5,-11567,1,-270,15,-19250,124,-87575,7,4838,117,-92413,7,9665,0,0,130,262005,7,2546,0,0,46,10508
"2023","männlich","Burgenland","6 bis unter 8",420,420,2729852,420,2927423,136,-80647,69,-222867,10,6860,128,-315187,134,2183080,47,361259,75,496543,276,16059,126,1717861,12,40942,51,83369,2,17108,217,-733623,28,-647717,10,-24800,0,0,3,-2270,26,-19192,1,-520,75,-55894,13,-4264,6,-1772,11,325519,3,-2520,3,-1651,18,-19250,119,-94165,7,7415,112,-101580,7,9270,1,4200,111,247447,7,2547,1,1260,39,9711
"2023","männlich","Burgenland","8 bis unter 10",419,419,4174470,419,3798431,144,-95427,81,-120166,15,13883,137,-237116,141,2207006,57,333754,79,554414,248,1574991,135,1489023,12,49864,59,168082,3,8746,223,-348502,29,-256452,19,-43504,0,0,4,-2699,25,-19608,1,-520,84,-67060,28,-10011,5,-672,17,1060552,11,-14945,1,-913,19,-26397,140,-107564,12,11610,128,-119174,5,24279,0,0,112,197261,5,6677,0,0,32,5460
"2023","männlich","Burgenland","10 bis unter 15",1130,1130,16197953,1130,14120221,724,-157489,244,-315558,331,133688,400,-736297,445,6169061,140,1405502,236,2197938,675,6438136,422,4899767,30,777340,137,409052,18,92215,649,-1931709,55,-1669335,49,-139840,1,-336,14,-114638,68,-46576,4,-2632,249,-198874,124,-70026,16,-4375,32,783830,175,-75833,3,-2449,45,-43507,712,-184358,331,133359,381,-317716,7,26270,2,13329,361,646202,7,6934,2,3999,127,15935
"2023","männlich","Burgenland","15 bis unter 20",1169,1169,21396837,1169,20489596,1001,306452,476,-487538,484,473974,508,-679746,613,11762837,147,1661730,254,2982016,603,6265310,596,9746364,20,108152,190,576539,14,95307,698,-625688,35,-353606,76,-224557,1,-801,8,-11883,55,-38064,3,-1744,367,-373018,206,-165454,45,-16214,25,435067,291,-288328,1,-1084,17,-16740,988,243773,560,506882,428,-263109,12,16850,2,21896,559,1338572,12,4622,2,5964,391,52093
"2023","männlich","Burgenland","20 bis unter 25",1275,1275,29679473,1275,28679561,1214,1377069,726,-1203186,664,1027267,540,-886671,824,20426338,152,1429336,255,3630941,599,7091773,818,16963440,26,79074,247,382040,28,151229,871,-698925,21,-326040,107,-272796,3,-5814,4,-3887,60,-41536,7,-4240,473,-404256,298,-220180,63,-31608,27,364628,347,-573407,6,-6058,4,-1072,1210,1250693,1017,1402323,193,-151630,18,54230,3,14077,770,2353826,18,14843,3,4223,653,107310
"2023","männlich","Burgenland","25 bis unter 30",1353,1353,38083734,1353,37203610,1330,3076991,919,-2372886,715,1598241,604,-909480,983,31386722,197,1808777,274,3992419,547,6520030,978,24957297,35,112197,309,696257,16,59402,957,-568503,21,-218456,91,-216478,2,-6198,4,-1803,65,-45568,4,-2448,625,-354343,308,-144703,71,-38782,23,690802,386,-859589,5,-4293,0,0,1326,2878789,1183,2985489,143,-106700,22,78311,6,15706,946,3499050,22,21496,6,4559,872,172146
"2023","männlich","Burgenland","30 bis unter 40",2657,2657,94436975,2657,92681654,2645,11659206,1965,-8326295,1503,4940409,1116,-1679553,2044,81289808,358,2829344,547,9702679,946,13002362,2031,65844387,93,277714,738,2675287,63,251321,1964,-1091583,16,-205942,196,-480901,5,-4845,18,-25674,130,-88264,9,-4864,1349,-570600,231,-89424,132,-72624,41,864396,773,-1959634,2,-611,0,0,2645,11139610,2550,11200985,95,-61376,63,94098,14,42483,1995,9309391,63,25554,14,12745,1901,481296
"2023","männlich","Burgenland","40 bis unter 50",2115,2115,96112133,2115,94615188,2115,16327436,1625,-11260318,1267,6362686,816,-1430635,1693,83913776,259,2321975,511,9427660,715,12483121,1679,68358582,105,364320,627,2709270,73,571813,1650,-1004967,11,-149363,152,-379005,4,-9507,16,-58941,106,-76160,12,-7072,1118,-470819,54,-26820,94,-54195,25,1194733,669,-1865048,0,0,0,0,2114,15714560,2101,15724190,13,-9631,69,249212,15,98714,1646,9632038,69,68057,15,29614,1591,515206
